data;hora_utc;temp_c;temp_max_c;temp_min_c;umid_pct;umid_max_pct;umid_min_pct;pto_orvalho_c;pto_orvalho_max_c;pto_orvalho_min_c;press_hpa;press_max_hpa;press_min_hpa;vento_ms;dir_vento_ms;raj_vento_ms;radiacao_kj_m2;chuva_mm;cod_estacao;VL_LATITUDE;VL_LONGITUDE
11/02/2026;1800;32,4;33,6;31,8;39,0;39,0;29,0;16,5;16,5;12,3;935,4;936,2;935,4;1,7;346,0;4,8;3299,10;0,0;A703;-22,5525;-55,71638888
11/02/2026;1800;35,4;36,0;34,8;40,0;46,0;36,0;19,8;22,2;17,9;998,9;999,6;998,9;0,6;10,0;5,4;3424,30;;A723;-21,70583333;-57,88666666
11/02/2026;1800;34,8;35,1;33,5;49,0;54,0;49,0;22,4;23,7;22,1;990,4;991,3;990,4;1,9;45,0;5,5;3169,10;0,0;S719;-20,97305554000;-57,40111111000
11/02/2026;1800;32,6;33,3;31,3;53,0;56,0;51,0;21,8;22,7;20,2;958,0;958,7;958,0;2,5;233,0;5,3;2732,10;0,0;S728;-21,18984500000;-53,55538200000
11/02/2026;1800;33,3;34,0;32,9;45,0;48,0;42,0;19,6;20,8;18,9;959,2;959,8;959,2;1,6;267,0;5,3;3207,00;0,0;S715;-20,46666666000;-53,76305555000
11/02/2026;1800;33,9;33,9;32,2;42,0;50,0;40,0;19,2;21,2;18,3;971,9;972,9;971,9;0,0;309,0;4,5;2416,90;0,0;A743;-21,77499999;-54,52805554
11/02/2026;1800;33,1;33,1;31,9;49,0;53,0;47,0;20,9;22,0;19,6;966,2;966,9;966,2;1,7;246,0;4,4;3621,40;0,0;S716;-21,30583333000;-52,82027777000
11/02/2026;1800;29,6;30,2;29,1;61,0;64,0;55,0;21,2;21,9;19,7;937,3;938,0;937,2;3,9;273,0;7,7;4149,80;0,0;A732;-19,42027777;-54,55305555
11/02/2026;1800;34,0;35,0;32,1;44,0;49,0;38,0;20,0;20,4;18,4;964,0;964,8;964,0;0,0;254,0;3,1;2169,50;0,0;A751;-23,96694443;-55,02416666
11/02/2026;1800;32,5;32,7;31,4;47,0;54,0;42,0;19,9;21,6;18,0;956,4;957,4;956,4;1,8;346,0;5,8;3459,70;0,0;A754;-20,98166666;-54,97194443
11/02/2026;1800;29,3;30,7;29,0;60,0;63,0;55,0;20,6;22,2;19,8;954,0;954,9;954,0;3,2;301,0;6,5;2887,40;0,0;A761;-17,63527777;-54,76055555
11/02/2026;1800;28,3;31,1;28,2;69,0;69,0;51,0;22,0;22,0;19,3;973,5;973,6;973,4;3,3;50,0;7,3;1000,50;0,0;A704;-20,79499999;-51,71333333
